,name,floorSize,image,headline,description
0,"Office Space for Sale in Sector 90,Noida",570 sq.ft.,https://img.squareyards.com/secondaryPortal/638439284368350913-1902240833563356.jpg,,
1,Alphathum,,,"Alphathum, Sector 90, Noida",
2,"Office Space for Sale in Sector 90,Noida",532 sq.ft.,https://img.squareyards.com/secondaryPortal/638316070782113629-2909230557585758.jpg,,
3,"Showroom for Sale in Sector 140a,Noida",150 sq.ft.,https://img.squareyards.com/secondaryPortal/638308909694039602-210923110249249.jpg,,
4,"Showroom for Sale in Sector 140a,Noida",526 sq.ft.,https://img.squareyards.com/secondaryPortal/638385804577922471-191223110057057.jpg,,
5,"Office Space for Sale in Sector 140a,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638437489048219855-1702240641444144.png,,
6,"Shop for Sale in Sector 133,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638379837785147565-1212230116181618.jpg,,
7,"Shop for Sale in Sector 133,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638433546781541022-1202240511181118.jpg,,
8,"Shop for Sale in Sector 133,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638386875381900628-2012230445384538.jpg,,
9,"Shop for Sale in Sector 62,Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638437815180253015-1702240345184518.jpeg,,
10,"Shop for Sale in Sector 62,Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638199204678897482-170523114107417.jpg,,
11,"Shop for Sale in Sector 62,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638253801755118418-1907230416151615.jpg,,
12,"Shop for Sale in Raj Nagar Extension,Ghaziabad",150 sq.ft.,https://img.squareyards.com/secondaryPortal/638282207541178976-2108230119141914.jpg,,
13, Retail Shop For Sale in Himalaya City Centre ,,," Retail Shop For Sale in Himalaya City Centre , Raj Nagar Extension, Ghaziabad","Looking for a shop for sale in Rajnagar Extension, Ghaziabad.Look no further! We have a wonderful opportunity for you."
14,"Showroom for Sale in Greater Noida West,Greater Noida",1500 sq.ft.,https://img.squareyards.com/secondaryPortal/638360777310776166-2011231148514851.jpg,,
15,"Office Space for Sale in Sector 62,Noida",550 sq.ft.,https://img.squareyards.com/secondaryPortal/638223387428434573-1406231125422542.jpg,,
16,"Shop for Sale in Sector 4, Greater Noida,Greater Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/638149274046900196-2003230443244324.jpg,,
17,"Industrial Plot for Sale in Noida Ext Sector 16c,Greater Noida",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638291660083238345-0109231153285328.jpg,,
18,"Shop for Sale in Sector 4, Greater Noida,Greater Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/638149274046900196-2003230443244324.jpg,,
19,"Industrial Plot for Sale in Noida Ext Sector 16c,Greater Noida",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638291660083238345-0109231153285328.jpg,,
20,"Shop for Sale in Noida Ext Sector 3,Greater Noida",150 sq.ft.,https://img.squareyards.com/secondaryPortal/638175950376090646-2004230143574357.jpg,,
21,"Showroom for Sale in Sector 75,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638257483320409276-2307231032123212.jpeg,,
22,"Shop for Sale in Sector 75,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638170973358270046-1404230728552855.jpg,,
23,"Shop for Sale in Sector 75,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638299474715994557-1009231257515751.jpeg,,
24,"Shop for Sale in Sector 94a,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638403306059215329-080124051005105.jpg,,
25, Retail Shop For Sale in M3m The Cullinan Sector 94 Noida,,," Retail Shop For Sale in M3m The Cullinan Sector 94 Noida, Sector 94a, Noida",
26,"Showroom for Sale in Sector 94,Noida",758 sq.ft.,https://img.squareyards.com/secondaryPortal/638434437095327162-130224055509559.png,,
27,"Office Space for Sale in Sector 140a,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638403162239426550-0801240110231023.png,,
28,"Shop for Sale in Sector 140a,Noida",286 sq.ft.,https://img.squareyards.com/secondaryPortal/638398861095207374-0301240141494149.png,,
29,"Office Space for Sale in Sector 140a,Noida",150 sq.ft.,https://img.squareyards.com/secondaryPortal/638338563576261564-2510230645574557.jpg,,
30,"Office Space for Sale in Sector 140a,Noida",650 sq.ft.,https://img.squareyards.com/secondaryPortal/638308119214433344-200923010521521.jpg,,
31,"Shop for Sale in Sector 140a,Noida",797 sq.ft.,https://img.squareyards.com/secondaryPortal/638331491015155584-1710230218211821.jpg,,
32,"Office Space for Sale in Sector 140a,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638337507047647673-241023012504254.jpg,,
33,"Shop for Sale in Sector 140,Noida",102 sq.ft.,https://img.squareyards.com/secondaryPortal/638442896710305756-2302241254315431.jpg,,
34,"Office Space for Sale in Sector 140,Noida",600 sq.ft.,https://img.squareyards.com/secondaryPortal/638430892327722434-0902240327122712.jpg,,
35,"Office Space for Sale in Sector 140,Noida",600 sq.ft.,https://img.squareyards.com/secondaryPortal/638398943150472408-0301240358355835.jpg,,
36,"Shop for Sale in Sector 98,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638405876143562943-1101240433343334.jpg,,
37,"Shop for Sale in Sector 98,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638336822900141342-2310230624502450.jpg,,
38,"Shop for Sale in Sector 98,Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/8f9cf925-ce1c-4d22-addc-f22228c2a9be.jpg,,
39,"Shop for Sale in Sector 129 ,Noida",580 sq.ft.,https://img.squareyards.com/secondaryPortal/638399870659276841-0401240544254425.jpg,,
40,"Shop for Sale in Sector 129 ,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638365406716657681-2511230824312431.jpg,,
41,"Shop for Sale in Sector 129 ,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/c8eff173-7ba7-4adb-a2de-8f8e41b533eb.jpg,,
42,"Shop for Sale in Sector 131,Noida",130 sq.ft.,https://img.squareyards.com/secondaryPortal/638237321086305625-3006230228282828.jpg,,
43,"Shop for Sale in Sector 131,Noida",259 sq.ft.,https://img.squareyards.com/secondaryPortal/638409945264681244-1601240935263526.jpg,,
44,"Shop for Sale in Sector 131,Noida",400 sq.ft.,https://img.squareyards.com/secondaryPortal/638213155315068610-0206230312111211.jpg,,
45,"Shop for Sale in Sector 133,Noida",292 sq.ft.,https://img.squareyards.com/secondaryPortal/638308146734359865-2009230151135113.jpeg,,
46,"Shop for Sale in Sector 133,Noida",320 sq.ft.,https://img.squareyards.com/secondaryPortal/638241947445500835-050723105904594.jpg,,
47,"Industrial Plot for Sale in Noida Ext Sector 16c,Greater Noida",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638291660083238345-0109231153285328.jpg,,
48,"Shop for Sale in Sector 129 ,Noida",1578 sq.ft.,https://img.squareyards.com/secondaryPortal/638219980212492979-100623124701471.jpg,,
49,"Shop for Sale in Sector 129 ,Noida",350 sq.ft.,https://img.squareyards.com/secondaryPortal/638247675064866794-12072302050656.jpg,,
50,"Shop for Sale in Sector 129 ,Noida",450 sq.ft.,https://img.squareyards.com/secondaryPortal/638420665472305665-2801240722272227.jpg,,
51,"Showroom for Sale in Sector 140,Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638142175296910106-120323113209329.jpeg,,
52,"Office Space for Sale in Sector 140,Noida",700 sq.ft.,https://img.squareyards.com/secondaryPortal/638433625647293820-1202240722442244.jpg,,
53,"Office Space for Sale in Sector 140,Noida",306 sq.ft.,https://img.squareyards.com/secondaryPortal/638431765893332962-100224034309439.jpg,,
54,"Shop for Sale in Greater Noida West,Greater Noida",246 sq.ft.,https://img.squareyards.com/secondaryPortal/638324060773878132-0810231154375437.jpg,,
55,"Shop for Sale in Greater Noida West,Greater Noida",284 sq.ft.,https://img.squareyards.com/secondaryPortal/638352085336233597-1011231022132213.jpg,,
56,"Shop for Sale in Greater Noida West,Greater Noida",300 sq.ft.,https://img.squareyards.com/secondaryPortal/638312777489201151-250923102908298.jpg,,
57,"Shop for Sale in Noida Ext Sector 4,Greater Noida",321 sq.ft.,https://img.squareyards.com/secondaryPortal/638355671848776227-1411230159445944.jpg,,
58,"Shop for Sale in Noida Ext Sector 4,Greater Noida",315 sq.ft.,https://img.squareyards.com/secondaryPortal/638422268262618387-3001240353465346.jpg,,
59,"Shop for Sale in Noida Ext Sector 4,Greater Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638429178824877143-0702240351225122.jpg,,
60,"Shop for Sale in Noida Ext Tech Zone 4,Greater Noida",494 sq.ft.,https://img.squareyards.com/secondaryPortal/638423938341435082-0102240217141714.jpg,,
61,"Shop for Sale in Noida Ext Tech Zone 4,Greater Noida",850 sq.ft.,https://img.squareyards.com/secondaryPortal/638446365894410312-2702240116291629.jpg,,
62,"Office Space for Sale in Noida Ext Tech Zone 4,Greater Noida",480 sq.ft.,https://img.squareyards.com/secondaryPortal/638390993424104612-25122311090292.jpeg,,
63,"Shop for Sale in Sector 4, Greater Noida,Greater Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/638149274046900196-2003230443244324.jpg,,
64,"Industrial Plot for Sale in Noida Ext Sector 16c,Greater Noida",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638291660083238345-0109231153285328.jpg,,
65,"Shop for Sale in Noida Ext Sector 3,Greater Noida",150 sq.ft.,https://img.squareyards.com/secondaryPortal/638175949102418778-2004230141504150.jpg,,
66,"Office Space for Sale in Noida Ext Tech Zone 4,Greater Noida",1110 sq.ft.,https://img.squareyards.com/secondaryPortal/638418205567025956-250124110236236.jpg,,
67,"Office Space for Sale in Noida Ext Tech Zone 4,Greater Noida",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638321361922176485-0510230856325632.png,,
68,"Office Space for Sale in Noida Ext Tech Zone 4,Greater Noida",560 sq.ft.,https://img.squareyards.com/secondaryPortal/638430718353528274-0902241037153715.jpg,,
69,"Showroom for Sale in Patel Nagar,Delhi",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638409206216546518-150124010341341.jpg,,
70,"Showroom for Sale in Patel Nagar,Delhi",4800 sq.ft.,https://img.squareyards.com/secondaryPortal/638417927662898294-2501240319261926.jpg,,
71,"Showroom for Sale in Patel Nagar,Delhi",825 sq.ft.,https://img.squareyards.com/secondaryPortal/638416165071512898-2301240221472147.png,,
72,"Shop for Sale in Karol Bagh,Delhi",65 sq.ft.,https://img.squareyards.com/secondaryPortal/638197473663132780-150523113606366.jpg,,
73,"Shop for Sale in Karol Bagh,Delhi",40 sq.ft.,https://img.squareyards.com/secondaryPortal/638197476106774936-1505231140104010.jpg,,
74,"Shop for Sale in Karol Bagh,Delhi",70 sq.ft.,https://img.squareyards.com/secondaryPortal/638197486992789017-1505231158195819.jpg,,
75,"Showroom for Sale in Chandni Chowk,Delhi",250 sq.ft.,https://img.squareyards.com/secondaryPortal/638400644389527487-0501240313581358.jpg,,
76,Omaxe Chandni Chowk,,,"Omaxe Chandni Chowk, Chandni Chowk, Delhi","This beautifully furnished showroom is now available for sale in the prestigious locality of Chandni Chowk, Delhi.With an area of 250 square feet, this property offers ample space and is an excellent investment opportunity.Situated in a safe and secure locality, this property is perfect for both families and bachelors."
77,"Showroom for Sale in Chandni Chowk,Delhi",378 sq.ft.,https://img.squareyards.com/secondaryPortal/638303829565416110-1509230155565556.jpg,,
78,"Shop for Sale in Sadar Bazaar,Delhi",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638282118019288546-210823105001501.jpg,,
79,"Shop for Sale in Sadar Bazaar,Delhi",135 sq.ft.,https://img.squareyards.com/secondaryPortal/638310494666181622-230923070426426.jpg,,
80,"Shop for Sale in Sadar Bazaar,Delhi",110 sq.ft.,https://img.squareyards.com/secondaryPortal/638289254069716489-290823050326326.jpg,,
81,"Shop for Sale in Sector 57,Gurgaon",600 sq.ft.,https://img.squareyards.com/secondaryPortal/638269424806249213-0608230614401440.jpg,,
82,"Shop for Sale in Sector 57,Gurgaon",312 sq.ft.,https://img.squareyards.com/secondaryPortal/638283949918198857-2308230143114311.jpg,,
83,"Shop for Sale in Sector 57,Gurgaon",300 sq.ft.,https://img.squareyards.com/secondaryPortal/638437105763396918-160224080256256.png,,
84,"Showroom for Sale in Sector 25,Gurgaon",1200 sq.ft.,https://img.squareyards.com/secondaryPortal/638230553749826094-2206230629342934.jpg,,
85,"Shop for Sale in Sector 25,Gurgaon",450 sq.ft.,https://img.squareyards.com/secondaryPortal/638435396654075785-1402240834253425.png,,
86,"Shop for Sale in Sector 25,Gurgaon",655 sq.ft.,https://img.squareyards.com/secondaryPortal/638437029974170094-1602240556375637.jpg,,
87,"Shop for Sale in Dwarka Expressway,Gurgaon",484 sq.ft.,https://img.squareyards.com/secondaryPortal/638423025974472853-3101241256375637.png,,
88,"Shop for Sale in Sector 113,Gurgaon",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638191473103742043-0805231255105510.jpg,,
89,"Shop for Sale in Sector 113,Gurgaon",600 sq.ft.,https://img.squareyards.com/secondaryPortal/638281507707726765-2008230552505250.webp,,
90,"Shop for Sale in Sector 65,Gurgaon",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638257179982584500-230723020638638.jpg,,
91,"Shop for Sale in Sector 65,Gurgaon",1200 sq.ft.,https://img.squareyards.com/secondaryPortal/638257186844978440-230723021804184.jpg,,
92,"Shop for Sale in Sector 65,Gurgaon",310 sq.ft.,https://img.squareyards.com/secondaryPortal/638355427584216950-1411230712381238.jpeg,,
93,"Shop for Sale in Sector 57,Gurgaon",350 sq.ft.,https://img.squareyards.com/secondaryPortal/638168163988630500-1104230126382638.png,,
94,"Shop for Sale in Sector 57,Gurgaon",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638271944708800899-0908230414301430.jpg,,
95,"Showroom for Sale in Sector 49,Gurgaon",2000 sq.ft.,https://img.squareyards.com/secondaryPortal/638390239836337866-241223021303133.jpg,,
96,"Shop for Sale in Sector 66,Gurgaon",1104 sq.ft.,https://img.squareyards.com/secondaryPortal/638312564977680811-2509230434573457.jpg,,
97,"Shop for Sale in Sector 66,Gurgaon",600 sq.ft.,https://img.squareyards.com/secondaryPortal/638175897528754264-2004231215521552.jpeg,,
98,"Office Space for Sale in Sector 66,Gurgaon",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638211502772253897-3105230517571757.jpg,,
99,"Shop for Sale in Sector 50,Gurgaon",860 sq.ft.,https://img.squareyards.com/secondaryPortal/638175280983486204-190423070818818.jpg,,
100,"Shop for Sale in Sector 50,Gurgaon",450 sq.ft.,https://img.squareyards.com/secondaryPortal/638169150680763988-120423045108518.png,,
101,"Shop for Sale in Sector 50,Gurgaon",250 sq.ft.,https://img.squareyards.com/secondaryPortal/638194100265447602-1105230153465346.jpg,,
102,"Shop for Sale in Sector 70,Gurgaon",872 sq.ft.,https://img.squareyards.com/secondaryPortal/638418799958755263-2601240333153315.jpeg,,
103,"Shop for Sale in Sector 70,Gurgaon",550 sq.ft.,https://img.squareyards.com/secondaryPortal/638417888899448763-2501240214491449.jpeg,,
104,"Shop for Sale in Sector 70,Gurgaon",1079 sq.ft.,https://img.squareyards.com/secondaryPortal/638372190339053165-0312230450335033.jpeg,,
105,"Showroom for Sale in Sector 84,Gurgaon",427 sq.ft.,https://img.squareyards.com/secondaryPortal/638382384567707174-151223120056056.jpeg,,
106,Elan Miracle,,,"Elan Miracle, Sector 84, Gurgaon","Looking for a well-ventilated showroom with tasteful interiors in Sector 84, Gurgaon.Then your search ends here!This showroom, located near City Center, is available for sale at a desperate price of 1.1 Crore."
107,"Shop for Sale in Sector 84,Gurgaon",1213 sq.ft.,https://img.squareyards.com/secondaryPortal/638432722825128900-110224061802182.jpeg,,
108,"Showroom for Sale in Sector 49,Gurgaon",2000 sq.ft.,https://img.squareyards.com/secondaryPortal/638390239836337866-241223021303133.jpg,,
109,"Office Space for Sale in Sector 49,Gurgaon",550 sq.ft.,https://img.squareyards.com/secondaryPortal/638172464674659704-1604231254275427.jpg,,
110,"Shop for Sale in Sohna Sector 36,Gurgaon",400 sq.ft.,https://img.squareyards.com/secondaryPortal/638415392243795572-2201240453445344.jpg,,
111,"Shop for Sale in Sohna Sector 36,Gurgaon",1543 sq.ft.,https://img.squareyards.com/secondaryPortal/638166351024087132-09042311050252.jpg,,
112,"Office Space for Sale in Sector 47,Gurgaon",858 sq.ft.,https://img.squareyards.com/secondaryPortal/638280419661142184-1908231139263926.jpg,,
113,"Shop for Sale in Sector 37,Gurgaon",341 sq.ft.,https://img.squareyards.com/secondaryPortal/638296013639453879-0609231249234923.jpg,,
114,"Land for Sale in Sector 82a,Gurgaon",74 sq.ft.,https://img.squareyards.com/secondaryPortal/638238358920063730-0107230718121812.jpg,,
115,"Showroom for Sale in Sector 82a,Gurgaon",104 sq.ft.,https://img.squareyards.com/secondaryPortal/638248607767259061-1307230359365936.png,,
116,"Land for Sale in Sector 82a,Gurgaon",105 sq.ft.,https://img.squareyards.com/secondaryPortal/638233899807817557-2606230326202620.png,,
117,"Land for Sale in Sector 82a,Gurgaon",123 sq.ft.,https://img.squareyards.com/secondaryPortal/638310705474107451-2309231255475547.jpg,,
118,"Office Space for Sale in Sector 82a,Gurgaon",95 sq.ft.,https://img.squareyards.com/secondaryPortal/638396320511975363-311223030731731.jpg,,
119,"Land for Sale in Sector 82a,Gurgaon",95 sq.ft.,https://img.squareyards.com/secondaryPortal/638444819567304538-2502240619161916.jpg,,
120,"Land for Sale in Sector 114,Gurgaon",95 sq.ft.,https://img.squareyards.com/secondaryPortal/638395414107824987-3012230156505650.webp,,
121,"Shop for Sale in Mehrauli,Delhi",180 sq.ft.,https://img.squareyards.com/secondaryPortal/638271819741934287-0908231246144614.jpg,,
122,"Showroom for Sale in Sector 93,Gurgaon",400 sq.ft.,https://img.squareyards.com/secondaryPortal/638442278422751332-220224074402442.jpg,,
123,"Showroom for Sale in Sector 49,Gurgaon",2000 sq.ft.,https://img.squareyards.com/secondaryPortal/638390239836337866-241223021303133.jpg,,
124,"Showroom for Sale in Sector 15,Gurgaon",4000 sq.ft.,https://img.squareyards.com/secondaryPortal/638198488854496858-160523034805485.jpg,,
125,"Shop for Sale in Sector 67,Gurgaon",260 sq.ft.,https://img.squareyards.com/secondaryPortal/638420709236062779-2801240835233523.jpg,,
126,"Office Space for Sale in Sector 74a,Gurgaon",1664 sq.ft.,https://img.squareyards.com/secondaryPortal/638388496177453430-2212230146574657.jpeg,,
127,"Office Space for Sale in Sector 74a,Gurgaon",1740 sq.ft.,https://img.squareyards.com/secondaryPortal/638385690883520808-1912230751285128.jpg,,
128,"Office Space for Sale in Sector 74a,Gurgaon",450 sq.ft.,https://img.squareyards.com/secondaryPortal/638258096275074395-2407230333473347.jpg,,
129,"Shop for Sale in Sohna Sector 35,Gurgaon",900 sq.ft.,https://img.squareyards.com/secondaryPortal/638307312171425596-1909230240174017.jpg,,
130,"Shop for Sale in Sohna Sector 35,Gurgaon",1008 sq.ft.,https://img.squareyards.com/secondaryPortal/638343870050575140-311023101005105.jpg,,
131,"Shop for Sale in Sohna Sector 35,Gurgaon",449 sq.ft.,https://img.squareyards.com/secondaryPortal/638309092685251929-210923040748748.jpg,,
132,"Shop for Sale in Sector 66,Gurgaon",1272 sq.ft.,https://img.squareyards.com/secondaryPortal/638297895401329413-080923050540540.jpeg,,
133,AIPL Joy Gallery,,,"AIPL Joy Gallery, Sector 66, Gurgaon",
134,"Shop for Sale in Sector 66,Gurgaon",1735 sq.ft.,https://img.squareyards.com/secondaryPortal/638295202770924615-0509230217571757.jpeg,,
135,"Office Space for Sale in Sector 66,Gurgaon",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638408459197041999-1401240418391839.jpeg,,
136,"Office Space for Sale in Sector 66,Gurgaon",1400 sq.ft.,https://img.squareyards.com/secondaryPortal/638410048921927412-1601241228122812.jpeg,,
137,"Office Space for Sale in Sector 66,Gurgaon",380 sq.ft.,https://img.squareyards.com/secondaryPortal/638411046933802781-1701240411331133.jpeg,,
138,"Showroom for Sale in Sector 65,Gurgaon",610 sq.ft.,https://img.squareyards.com/secondaryPortal/638430012981438714-080224030138138.jpg,,
139,"Shop for Sale in Sector 65,Gurgaon",362 sq.ft.,https://img.squareyards.com/secondaryPortal/638295314795406872-0509230524392439.jpeg,,
140,AIPL Joy Central,,,"AIPL Joy Central, Sector 65, Gurgaon",
141,"Office Space for Sale in Sector 65,Gurgaon",700 sq.ft.,https://img.squareyards.com/secondaryPortal/638282333043964176-2108230448244824.jpg,,
142,"Office Space in IT/SEZ for Sale in Sector 65,Gurgaon",800 sq.ft.,https://img.squareyards.com/secondaryPortal/638393780759014428-2812230434353435.jpg,,
143,"Office Space for Sale in Sector 47,Gurgaon",858 sq.ft.,https://img.squareyards.com/secondaryPortal/638280419661142184-1908231139263926.jpg,,
144,"Shop for Sale in Sector 66,Gurgaon",633 sq.ft.,https://img.squareyards.com/secondaryPortal/638435491980105876-1402241113181318.png,,
145,"Land for Sale in Sector 114,Gurgaon",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638322018097291778-061023031009109.jpg,,
146,"Land for Sale in Sector 114,Gurgaon",104 sq.ft.,https://img.squareyards.com/secondaryPortal/638182124205075025-2704230513401340.jpg,,
147,"Showroom for Sale in Sector 75a,Gurgaon",135 sq.ft.,https://img.squareyards.com/secondaryPortal/638176001561913303-200423030916916.webp,,
